"official_name","post_code4","post_code6","canton_label_short","latitude","longitude"
"Aeugst am Albis",8914,891400,"ZH",47.266998773234,8.4883027148933
"Aeugstertal",8914,891402,"ZH",47.282754956243,8.4936355373878
"Zwillikon",8909,890900,"ZH",47.287633716998,8.4314523727774
"Affoltern am Albis",8910,891000,"ZH",47.279170225438,8.4489409361193
"Bonstetten",8906,890600,"ZH",47.315508016679,8.4676040615539
"Hausen am Albis",8915,891500,"ZH",47.242358713405,8.5348558737413
"Ebertswil",8925,892500,"ZH",47.226156598495,8.5499999501059
"Hedingen",8908,890800,"ZH",47.297931073613,8.4503404768896
"Kappel am Albis",8926,892600,"ZH",47.227368055608,8.5248426262835
"Hauptikon",8926,892602,"ZH",47.230385970465,8.49534896364
"Uerzlikon",8926,892603,"ZH",47.222028196942,8.4993694220514
"Knonau",8934,893400,"ZH",47.223790849579,8.4606102245207
"Maschwanden",8933,893300,"ZH",47.235235663166,8.4262662477661
"Mettmenstetten",8932,893200,"ZH",47.242797166552,8.4637607112144
"Obfelden",8912,891200,"ZH",47.263625531615,8.4230382366823
"Ottenbach",8913,891300,"ZH",47.282772694921,8.4043297379686
"Rifferswil",8911,891100,"ZH",47.243472624359,8.496519126366
"Stallikon",8143,814300,"ZH",47.325866620882,8.490981918745
"Uetliberg",8143,814302,"ZH",47.349475859836,8.4913285158736
"Wettswil",8907,890700,"ZH",47.338020286191,8.4749455626994
"Adlikon b. Andelfingen",8452,845200,"ZH",47.580871101416,8.6935594267475
"Benken ZH",8463,846300,"ZH",47.652736649639,8.6539932344184
"Berg am Irchel",8415,841500,"ZH",47.570458963015,8.5981374365307
"Gräslikon",8415,841501,"ZH",47.557318031746,8.6052784733624
"Buch am Irchel",8414,841400,"ZH",47.549002515739,8.6225663306543
"Dachsen",8447,844700,"ZH",47.666974193069,8.6138416669324
"Dorf",8458,845800,"ZH",47.571686054662,8.6479661004191
"Feuerthalen",8245,824500,"ZH",47.690944867111,8.6410283402758
"Langwiesen",8246,824600,"ZH",47.683985263733,8.6632337815946
"Flaach",8416,841600,"ZH",47.573335133251,8.6028389264487
"Flurlingen",8247,824700,"ZH",47.68417280975,8.6278484589951
"Andelfingen",8450,845000,"ZH",47.594884920276,8.6785057584638
"Henggart",8444,844400,"ZH",47.562704197642,8.6832965309404
"Humlikon",8457,845700,"ZH",47.57563242649,8.6695627411265
"Kleinandelfingen",8451,845100,"ZH",47.599532316853,8.6829760860565
"Alten",8453,845300,"ZH",47.599422231379,8.6474407172717
"Oerlingen",8461,846100,"ZH",47.623980016112,8.6762317140859
"Nohl",8212,821204,"ZH",47.669949089524,8.6078222830563
"Uhwiesen",8248,824800,"ZH",47.671082303979,8.6343461898711
"Marthalen",8460,846000,"ZH",47.625208947623,8.6483871154054
"Ellikon am Rhein",8464,846400,"ZH",47.605482515805,8.5973859872767
"Ossingen",8475,847500,"ZH",47.610336325503,8.7257394210867
"Rheinau",8462,846200,"ZH",47.643946127931,8.6033631552336
"Thalheim an der Thur",8478,847800,"ZH",47.578974526246,8.7543179737223
"Rudolfingen",8465,846500,"ZH",47.640362424193,8.673393081404
"Wildensbuch",8465,846501,"ZH",47.650516014081,8.6794196536868
"Trüllikon",8466,846600,"ZH",47.637273323538,8.6922315128608
"Truttikon",8467,846700,"ZH",47.630125326784,8.7264986972311
"Volken",8459,845900,"ZH",47.572835862863,8.6289854708975
"Bachenbülach",8184,818400,"ZH",47.503567306524,8.5464110941422
"Bassersdorf",8303,830300,"ZH",47.444310272588,8.6278234376464
"Bülach",8180,818000,"ZH",47.51706754839,8.5408502616241
"Dietlikon",8305,830500,"ZH",47.425525811397,8.615766542272
"Eglisau",8193,819300,"ZH",47.575178066474,8.5260258232714
"Embrach",8424,842400,"ZH",47.501228499134,8.5951951938218
"Freienstein",8427,842702,"ZH",47.53261001648,8.5908308734912
"Teufen ZH",8428,842800,"ZH",47.54988588072,8.5673710230184
